z_column,releases,clock_dir_all
ALL,2017-12-20 15:00:00,3.7505924664758394
ALL,2017-12-20 16:00:00,3.673598828726671
ALL,2017-12-20 17:00:00,3.647963584600718
ALL,2017-12-20 18:00:00,3.6361844241331993
ALL,2017-12-20 19:00:00,3.710959639448614
ALL,2017-12-20 20:00:00,3.6796916510190814
ALL,2017-12-20 21:00:00,3.754868033121776
ALL,2017-12-20 22:00:00,3.711995520870596
ALL,2017-12-20 23:00:00,3.6562321932850432
ALL,2017-12-21 00:00:00,3.5356269087961225
ALL,2017-12-21 01:00:00,3.5742374158920334
ALL,2017-12-21 02:00:00,3.6157114295404917
ALL,2017-12-21 03:00:00,3.5254482645468093
ALL,2017-12-21 04:00:00,3.602225568176005
ALL,2017-12-21 05:00:00,3.7308093246373
ALL,2017-12-21 06:00:00,3.125556463498931
ALL,2017-12-21 07:00:00,3.022520608491821
ALL,2017-12-21 08:00:00,3.254753939601388
ALL,2017-12-21 09:00:00,3.2797945140446707
ALL,2017-12-21 10:00:00,3.271042405764284
ALL,2017-12-21 11:00:00,3.276226953809475
ALL,2017-12-21 12:00:00,3.2911810569894304
ALL,2017-12-21 13:00:00,3.327881060900806
ALL,2017-12-21 14:00:00,3.3268199580034166
ALL,2017-12-21 15:00:00,3.393916989456257
ALL,2017-12-21 16:00:00,3.2558023146306634
ALL,2017-12-21 17:00:00,3.1681997356222364
ALL,2017-12-21 18:00:00,3.159378962248216
ALL,2017-12-21 19:00:00,3.195922358244581
ALL,2017-12-21 20:00:00,3.0654097191684104
ALL,2017-12-21 21:00:00,2.8375101533180676
ALL,2017-12-21 22:00:00,2.705399661797493
ALL,2017-12-21 23:00:00,2.644651837279696
ALL,2017-12-22 00:00:00,2.65330466530323
ALL,2017-12-22 01:00:00,2.5890706291818306
ALL,2017-12-22 02:00:00,2.4537783777785993
ALL,2017-12-22 03:00:00,2.3380687709472636
ALL,2017-12-22 04:00:00,2.4323708488052427
ALL,2017-12-22 05:00:00,2.3693593913426363
ALL,2017-12-22 06:00:00,2.3289692709215184
ALL,2017-12-22 07:00:00,2.508882927795171
ALL,2017-12-22 08:00:00,2.6406880565400033
ALL,2017-12-22 09:00:00,3.0766884764044633
ALL,2017-12-22 10:00:00,2.756474936483368
