z_column,releases,R_DIS_all
ALL,2017-12-15 01:00:00,452.53700688824637
ALL,2017-12-15 02:00:00,456.12160269668954
ALL,2017-12-15 03:00:00,463.49296636630044
ALL,2017-12-15 04:00:00,454.66080706430097
ALL,2017-12-15 05:00:00,464.18615650643505
ALL,2017-12-15 06:00:00,438.00030445645393
ALL,2017-12-15 07:00:00,430.2983639521355
ALL,2017-12-15 08:00:00,477.3412092681743
ALL,2017-12-15 09:00:00,426.74275106419356
ALL,2017-12-15 10:00:00,422.3244929419426
ALL,2017-12-15 11:00:00,396.1228818449158
ALL,2017-12-15 12:00:00,379.66062935961935
ALL,2017-12-15 13:00:00,372.6780385020917
ALL,2017-12-15 14:00:00,378.55010329573156
ALL,2017-12-15 15:00:00,385.2099092637225
ALL,2017-12-15 16:00:00,385.03257949405025
ALL,2017-12-15 17:00:00,364.19158098416307
ALL,2017-12-15 18:00:00,362.85723134603006
ALL,2017-12-15 19:00:00,412.125825528524
ALL,2017-12-15 20:00:00,522.6796820787217
ALL,2017-12-15 21:00:00,488.8767108617703
ALL,2017-12-15 22:00:00,508.9831418740977
ALL,2017-12-15 23:00:00,510.77555506141374
ALL,2017-12-16 00:00:00,671.3357351450352
ALL,2017-12-16 01:00:00,744.5042035979768
ALL,2017-12-16 02:00:00,653.7283241245206
ALL,2017-12-16 03:00:00,539.0362102562058
ALL,2017-12-16 04:00:00,473.7472090215805
ALL,2017-12-16 05:00:00,495.0564232530559
ALL,2017-12-16 06:00:00,526.6908832725462
ALL,2017-12-16 07:00:00,668.0987608559757
ALL,2017-12-16 08:00:00,677.5257344106321
ALL,2017-12-16 09:00:00,565.4491147594637
ALL,2017-12-16 10:00:00,525.1161816218253
ALL,2017-12-16 11:00:00,542.7971778541128
ALL,2017-12-16 12:00:00,514.891600138337
ALL,2017-12-16 13:00:00,485.60777618779366
ALL,2017-12-16 14:00:00,440.8675271490421
ALL,2017-12-16 15:00:00,499.2814091753356
ALL,2017-12-16 16:00:00,438.0754029168549
ALL,2017-12-16 17:00:00,467.9666236209612
ALL,2017-12-16 18:00:00,480.69147274514296
ALL,2017-12-16 19:00:00,509.1100389147212
ALL,2017-12-16 20:00:00,534.4853014332249
ALL,2017-12-16 21:00:00,575.7990913413581
ALL,2017-12-16 22:00:00,581.2225889970393
ALL,2017-12-16 23:00:00,512.747060465556
