normalized,z_column,releases,conc_all
0,ALL,2017-12-11 20:00:00,288445.13187989884
0,ALL,2017-12-11 21:00:00,281023.7572955575
0,ALL,2017-12-11 22:00:00,261785.46472672242
0,ALL,2017-12-11 23:00:00,263636.0312986142
0,ALL,2017-12-12 00:00:00,269524.8687577257
0,ALL,2017-12-12 01:00:00,259546.17382606058
0,ALL,2017-12-12 02:00:00,267457.2191544198
0,ALL,2017-12-12 03:00:00,274696.6993248414
0,ALL,2017-12-12 04:00:00,284912.95814474777
0,ALL,2017-12-12 05:00:00,287284.9906089909
0,ALL,2017-12-12 06:00:00,280739.6620382436
0,ALL,2017-12-12 07:00:00,287443.93900192244
0,ALL,2017-12-12 08:00:00,288621.9202455147
0,ALL,2017-12-12 09:00:00,291425.2383121833
0,ALL,2017-12-12 10:00:00,290679.2211898366
0,ALL,2017-12-12 11:00:00,292624.02430220693
0,ALL,2017-12-12 12:00:00,298679.72874680685
0,ALL,2017-12-12 13:00:00,304671.891685085
0,ALL,2017-12-12 14:00:00,304993.5212630953
0,ALL,2017-12-12 15:00:00,313332.4961572543
0,ALL,2017-12-12 16:00:00,309272.58885944565
0,ALL,2017-12-12 17:00:00,298119.9630916146
0,ALL,2017-12-12 18:00:00,273042.31095684925
0,ALL,2017-12-12 19:00:00,267407.7685829681
0,ALL,2017-12-12 20:00:00,239688.49123240676
0,ALL,2017-12-12 21:00:00,253136.0767084445
0,ALL,2017-12-12 22:00:00,243485.47517153848
0,ALL,2017-12-12 23:00:00,248222.79938996848
0,ALL,2017-12-13 00:00:00,265321.0415968228
0,ALL,2017-12-13 01:00:00,289837.11748407915
0,ALL,2017-12-13 02:00:00,277307.2337125463
0,ALL,2017-12-13 03:00:00,277198.73588316125
0,ALL,2017-12-13 04:00:00,278783.3326886394
0,ALL,2017-12-13 05:00:00,280665.57858477347
0,ALL,2017-12-13 06:00:00,280594.98704601696
0,ALL,2017-12-13 07:00:00,279263.3836870344
0,ALL,2017-12-13 08:00:00,281494.81409532565
0,ALL,2017-12-13 09:00:00,268971.03638387716
0,ALL,2017-12-13 10:00:00,260060.02071228495
0,ALL,2017-12-13 11:00:00,264495.5945156999
0,ALL,2017-12-13 12:00:00,269790.77644762903
0,ALL,2017-12-13 13:00:00,275463.4384412951
0,ALL,2017-12-13 14:00:00,285475.29851333937
0,ALL,2017-12-13 15:00:00,291639.51065229403
0,ALL,2017-12-13 16:00:00,292609.0443340968
0,ALL,2017-12-13 17:00:00,292791.3766139001
0,ALL,2017-12-13 18:00:00,296793.80893914064
0,ALL,2017-12-13 19:00:00,297896.3807779906
0,ALL,2017-12-13 20:00:00,295456.83522513136
0,ALL,2017-12-13 21:00:00,299125.1787824831
0,ALL,2017-12-13 22:00:00,298005.1033844759
0,ALL,2017-12-13 23:00:00,300073.20937784045
0,ALL,2017-12-14 00:00:00,288867.8838068171
0,ALL,2017-12-14 01:00:00,300796.06970931217
0,ALL,2017-12-14 02:00:00,302762.34170738084
0,ALL,2017-12-14 03:00:00,297450.0922940472
0,ALL,2017-12-14 04:00:00,302926.6024944295
0,ALL,2017-12-14 05:00:00,301986.8009937536
0,ALL,2017-12-14 06:00:00,291432.9465048678
0,ALL,2017-12-14 07:00:00,293034.72001907503
0,ALL,2017-12-14 08:00:00,303320.4238558343
0,ALL,2017-12-14 09:00:00,290011.2357549321
0,ALL,2017-12-14 10:00:00,291304.8712480333
0,ALL,2017-12-14 11:00:00,299395.8824088249
0,ALL,2017-12-14 12:00:00,306588.9998954185
0,ALL,2017-12-14 13:00:00,311606.2980814047
0,ALL,2017-12-14 14:00:00,311465.1502211603
0,ALL,2017-12-14 15:00:00,312493.5790685505
0,ALL,2017-12-14 16:00:00,315282.72379596456
0,ALL,2017-12-14 17:00:00,320349.1637156626
0,ALL,2017-12-14 18:00:00,323013.063484052
0,ALL,2017-12-14 19:00:00,325507.938342139
0,ALL,2017-12-14 20:00:00,323389.60369776224
0,ALL,2017-12-14 21:00:00,323176.2263378839
0,ALL,2017-12-14 22:00:00,324981.2274262082
0,ALL,2017-12-14 23:00:00,326624.3542128586
0,ALL,2017-12-15 00:00:00,328710.3563529533
0,ALL,2017-12-15 01:00:00,329325.28365959175
0,ALL,2017-12-15 02:00:00,329008.9043307896
0,ALL,2017-12-15 03:00:00,331237.22648997704
0,ALL,2017-12-15 04:00:00,332358.6164953122
0,ALL,2017-12-15 05:00:00,332952.47215917765
0,ALL,2017-12-15 06:00:00,334116.1277336782
0,ALL,2017-12-15 07:00:00,335459.3747107807
0,ALL,2017-12-15 08:00:00,337056.61894494115
0,ALL,2017-12-15 09:00:00,336856.78661601566
0,ALL,2017-12-15 10:00:00,334035.54494726844
0,ALL,2017-12-15 11:00:00,333851.1726101103
0,ALL,2017-12-15 12:00:00,335983.63881961326
0,ALL,2017-12-15 13:00:00,338504.0333174246
0,ALL,2017-12-15 14:00:00,339206.5444681159
0,ALL,2017-12-15 15:00:00,339485.86493032967
0,ALL,2017-12-15 16:00:00,340711.82805687824
