z_column,releases,ZSL_all
ALL,2017-12-13 05:00:00,5329.798289798311
ALL,2017-12-13 06:00:00,5391.1274259065995
ALL,2017-12-13 07:00:00,5368.234663290219
ALL,2017-12-13 08:00:00,5342.858038278313
ALL,2017-12-13 09:00:00,5677.5680832941725
ALL,2017-12-13 10:00:00,5893.780520858863
ALL,2017-12-13 11:00:00,5707.859404122505
ALL,2017-12-13 12:00:00,5588.638348861929
ALL,2017-12-13 13:00:00,5507.471353080311
ALL,2017-12-13 14:00:00,5405.098743618545
ALL,2017-12-13 15:00:00,5340.581795234428
ALL,2017-12-13 16:00:00,5371.004513187819
ALL,2017-12-13 17:00:00,5373.447511167812
ALL,2017-12-13 18:00:00,5273.26004240798
ALL,2017-12-13 19:00:00,5309.032840683431
ALL,2017-12-13 20:00:00,5510.126954141387
ALL,2017-12-13 21:00:00,5382.978354237265
ALL,2017-12-13 22:00:00,5445.568693883034
ALL,2017-12-13 23:00:00,5241.7340319773075
ALL,2017-12-14 00:00:00,5364.212576975277
ALL,2017-12-14 01:00:00,5089.36301277569
ALL,2017-12-14 02:00:00,5057.846510667669
ALL,2017-12-14 03:00:00,5210.7762894210555
ALL,2017-12-14 04:00:00,5107.810066761765
ALL,2017-12-14 05:00:00,5161.984406310137
ALL,2017-12-14 06:00:00,5402.950930895353
ALL,2017-12-14 07:00:00,5226.181871755094
ALL,2017-12-14 08:00:00,4752.966505232756
ALL,2017-12-14 09:00:00,5385.220340164878
ALL,2017-12-14 10:00:00,5255.006632510539
ALL,2017-12-14 11:00:00,5100.050244696494
ALL,2017-12-14 12:00:00,5011.987779686847
ALL,2017-12-14 13:00:00,5011.37938749324
ALL,2017-12-14 14:00:00,5107.243092478826
ALL,2017-12-14 15:00:00,4985.6243067253745
ALL,2017-12-14 16:00:00,4889.895422922724
ALL,2017-12-14 17:00:00,4710.7746572593305
ALL,2017-12-14 18:00:00,4584.435026792339
ALL,2017-12-14 19:00:00,4476.612953206887
ALL,2017-12-14 20:00:00,4655.161304222804
ALL,2017-12-14 21:00:00,4663.073574443719
