z_column,releases,age_all
ALL,2017-12-18 17:00:00,48.238415941480866
ALL,2017-12-18 18:00:00,48.231735548550894
ALL,2017-12-18 19:00:00,48.26362486121667
ALL,2017-12-18 20:00:00,48.32590566750512
ALL,2017-12-18 21:00:00,48.27991427868168
ALL,2017-12-18 22:00:00,48.336831525501964
ALL,2017-12-18 23:00:00,48.51255238218497
ALL,2017-12-19 00:00:00,48.70272409990875
ALL,2017-12-19 01:00:00,48.92146351899209
ALL,2017-12-19 02:00:00,49.00168498018601
ALL,2017-12-19 03:00:00,49.07406570972658
ALL,2017-12-19 04:00:00,48.515773630371825
ALL,2017-12-19 05:00:00,48.33435475607161
ALL,2017-12-19 06:00:00,48.3929671808211
ALL,2017-12-19 07:00:00,48.52597426296628
ALL,2017-12-19 08:00:00,48.757812627730935
ALL,2017-12-19 09:00:00,48.50915580744659
ALL,2017-12-19 10:00:00,48.83570174953397
ALL,2017-12-19 11:00:00,48.95560182564399
ALL,2017-12-19 12:00:00,49.186391667417624
ALL,2017-12-19 13:00:00,49.25099378028773
ALL,2017-12-19 14:00:00,49.06200510477538
ALL,2017-12-19 15:00:00,48.43652562088904
ALL,2017-12-19 16:00:00,48.30510086328282
ALL,2017-12-19 17:00:00,48.30012075463967
ALL,2017-12-19 18:00:00,48.27354425001356
ALL,2017-12-19 19:00:00,48.393127944100996
ALL,2017-12-19 20:00:00,48.63732728105375
ALL,2017-12-19 21:00:00,48.5255883985584
ALL,2017-12-19 22:00:00,48.29448214093165
ALL,2017-12-19 23:00:00,48.2316873651792
ALL,2017-12-20 00:00:00,48.27608519090813
ALL,2017-12-20 01:00:00,48.34181604537437
ALL,2017-12-20 02:00:00,48.36892949117396
ALL,2017-12-20 03:00:00,48.4207749832383
ALL,2017-12-20 04:00:00,48.32183076327233
ALL,2017-12-20 05:00:00,48.37085663148617
ALL,2017-12-20 06:00:00,48.37789886721229
ALL,2017-12-20 07:00:00,48.4527820257477
ALL,2017-12-20 08:00:00,48.808784974894266
ALL,2017-12-20 09:00:00,49.332496000182516
ALL,2017-12-20 10:00:00,50.038373658662934
ALL,2017-12-20 11:00:00,50.145490725391944
ALL,2017-12-20 12:00:00,49.73859778667535
ALL,2017-12-20 13:00:00,49.98639794603999
ALL,2017-12-20 14:00:00,49.3988692395935
ALL,2017-12-20 15:00:00,49.22842102001348
ALL,2017-12-20 16:00:00,49.14724644971572
ALL,2017-12-20 17:00:00,48.827103808974215
ALL,2017-12-20 18:00:00,48.34763425525347
ALL,2017-12-20 19:00:00,48.27190232583496
ALL,2017-12-20 20:00:00,48.238000219203336
ALL,2017-12-20 21:00:00,48.16925116474365
ALL,2017-12-20 22:00:00,48.124710474827396
ALL,2017-12-20 23:00:00,48.16785841575091
ALL,2017-12-21 00:00:00,48.087551756173504
ALL,2017-12-21 01:00:00,48.27964323741547
ALL,2017-12-21 02:00:00,48.24277328539854
ALL,2017-12-21 03:00:00,48.053931764791564
ALL,2017-12-21 04:00:00,48.20238066653355
ALL,2017-12-21 05:00:00,47.97383439396496
ALL,2017-12-21 06:00:00,48.1163411828793
ALL,2017-12-21 07:00:00,48.66169556975454
ALL,2017-12-21 08:00:00,49.23646342369774
ALL,2017-12-21 09:00:00,49.68075741166034
ALL,2017-12-21 10:00:00,50.149171997440625
ALL,2017-12-21 11:00:00,49.48376284571761
ALL,2017-12-21 12:00:00,49.47837335950987
ALL,2017-12-21 13:00:00,48.85384834015885
ALL,2017-12-21 14:00:00,48.41329406334057
ALL,2017-12-21 15:00:00,48.601558881253446
